company_name,category,website,email,all_emails,contact_name,contact_title,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region,country,city
Grafame Tech | POS ERP CRM PMS Software Providers,Software company,http://grafametech.com/,,,,,+254 785 660755,"Moi Ave, Nairobi, Kenya",,,,4.9,147,,,,software companies in Nairobi,https://www.google.com/maps/place/Grafame+Tech+%7C+POS+ERP+CRM+PMS+Software+Providers/data=!4m7!3m6!1s0x182f11bd93dfc5cf:0xc0074724af917fc7!8m2!3d-1.2834083!4d36.8232623!16s%2Fg%2F11h3bhzmkz!19sChIJz8Xfk70RLxgRx3-RryRHB8A?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,55,B,2026-08-26T12:26:33.959Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,erp-sap,erp-sap,,,,false,0.7,rules,africa,kenya,nairobi
iHUB,Technology park,https://ihub.co.ke/,info@ihub.co.ke,info@ihub.co.ke,,,+254 798 985410,"913, Jahazi Ground floor James Gichuru Road, Nairobi, Kenya",https://www.linkedin.com/company/ihub-nairobi,https://www.facebook.com/iHubNairobi,https://www.instagram.com/ihub_nairobi/,4.6,"1,365",,,,tech startups in Nairobi,https://www.google.com/maps/place/iHUB/data=!4m7!3m6!1s0x182f109996536c39:0x4eb6d6e1e16b4153!8m2!3d-1.2852923!4d36.7628694!16s%2Fm%2F0gg61f7!19sChIJOWxTlpkQLxgRU0Fr4eHWtk4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T12:28:23.611Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,africa,kenya,nairobi
TEK IT CONSULT,Software company,https://tekitconsult.com/,info@tekitconsult.com,info@tekitconsult.com,,,+233 27 270 2027,"21 Spintex Rd, Accra, Ghana",,https://www.facebook.com/ITbusinesses,https://www.instagram.com/tekitconsult/,3.9,938,,,,software companies in Accra,https://www.google.com/maps/place/TEK+IT+CONSULT/data=!4m7!3m6!1s0xfdf847fcf4f576d:0x5a8a243230bb3800!8m2!3d5.6435204!4d-0.1116058!16s%2Fg%2F1tgcnnbl!19sChIJbVdPz3-E3w8RADi7MDIkilo?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T12:33:51.650Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,,,,,,false,0,rules,africa,ghana,accra
"Medical AI, Inc.",Software company,http://www.medicalai.com/,contact@medicalai.com,contact@medicalai.com,,,+1 628-688-3889,"845 Market St Ste 450, San Francisco, CA 94103, United States",,,,5.0,3,,,,AI startups in San Francisco,"https://www.google.com/maps/place/Medical+AI,+Inc./data=!4m7!3m6!1s0x8085817abd935231:0x3e9f10b9ea0bc808!8m2!3d37.7844445!4d-122.4060878!16s%2Fg%2F11rn_llsjq!19sChIJMVKTvXqBhYARCMgL6rkQnz4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1",google_maps,normal_scraper,unknown,55,B,2026-08-26T12:41:10.296Z,,,ai-ml,ai-ml; healthcare,healthcare,,,false,0.6,rules,north-america,usa,san-francisco
"Hubbard Street Technology | IT Support and Managed IT Services Company in Chicago, IL",Computer support and services,https://www.hubbardstreettech.com/?utm_source=gbp&utm_medium=gbp&utm_campaign=gbp_organic,info@hubbardit.com,info@hubbardit.com,,,+1 312-471-0665,"77 W Washington St #1705, Chicago, IL 60602, United States",,,,5.0,21,,,,IT companies in Chicago,"https://www.google.com/maps/place/Hubbard+Street+Technology+%7C+IT+Support+and+Managed+IT+Services+Company+in+Chicago,+IL/data=!4m7!3m6!1s0x880e2dedf4e41b05:0x8c129674f33af7d1!8m2!3d41.8828727!4d-87.6306191!16s%2Fg%2F11krkx7ly4!19sChIJBRvk9O0tDogR0fc683SWEow?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1",google_maps,normal_scraper,unknown,55,B,2026-08-26T12:51:58.089Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,north-america,usa,chicago
WTech AI Agency London Business Automation,Software company,https://wtechai.agency/,wtechaiagency@gmail.com,wtechaiagency@gmail.com,,,+44 7351 106376,"Harper Rd, London SE1 6AQ, United Kingdom",,,,5.0,2,,,,AI companies in London,https://www.google.com/maps/place/WTech+AI+Agency+London+Business+Automation/data=!4m7!3m6!1s0x487603f249b6c141:0xc59e46ebd8f32c55!8m2!3d51.4941726!4d-0.0929509!16s%2Fg%2F11nr56sbv0!19sChIJQcG2SfIDdkgRVSzz2OtGnsU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:03:00.827Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml,,,,false,0.7,rules,europe,uk,london
Holistic AI,Software company,https://www.holisticai.com/,,,Adriano Koshiyama,Co-Founder & Co-CEO,+44 7426 079265,"20 Bedford Square, London WC1B 3HH, United Kingdom",https://www.linkedin.com/company/holisticai/,,,4.8,4,,,,AI companies in London,https://www.google.com/maps/place/Holistic+AI/data=!4m7!3m6!1s0x48761b45fa7b2cd1:0x14cf8f91ee47810!8m2!3d51.5194037!4d-0.1305396!16s%2Fg%2F11q9m8sr7r!19sChIJ0Sx7-kUbdkgREHjkHvn4TAE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,55,B,2026-08-26T13:03:00.827Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml,,,,false,0.7,rules,europe,uk,london
Monolith AI Limited,Software company,https://www.monolithai.com/,info@monolithai.com,info@monolithai.com,,,,"Building, 201 Borough High Street (Fora, London SE1 1JA, United Kingdom",https://www.linkedin.com/company/monolith-ai/,https://www.facebook.com/MonolithAI/,,5.0,3,,,,AI companies in London,https://www.google.com/maps/place/Monolith+AI+Limited/data=!4m7!3m6!1s0x48761cbafc8e5f07:0x4964816740eede3c!8m2!3d51.501874!4d-0.0922109!16s%2Fg%2F11nnv_5rq5!19sChIJB1-O_LocdkgRPN7uQGeBZEk?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:03:00.827Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,ai-ml,ai-ml,,,,false,0.7,rules,europe,uk,london
Celonis SE,Software company,https://www.celonis.com/,info@celonis.com,info@celonis.com,,,+49 89 416159670,"Theresienstraße 6, 80333 München-Maxvorstadt, Germany",,,,4.6,83,,,,software development companies in Munich,https://www.google.com/maps/place/Celonis+SE/data=!4m7!3m6!1s0x479dd8b2c90c4ad3:0xb1dac3d8d263be91!8m2!3d48.1478749!4d11.5786787!16s%2Fg%2F11b6dg3zxq!19sChIJ00oMybLYnUcRkb5j0tjD2rE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:10:30.808Z,,,,,,,,false,0,rules,europe,germany,munich
Software Improvement Group (SIG),Software company,https://www.softwareimprovementgroup.com/?utm_source=Google%20My%20Business&utm_medium=Google%20My%20Business%20%7C%20NL&utm_campaign=Google%20My%20Business%20%7C%20NL,,,Jasper Geurts,Managing Director of SIG Americas,+31 20 314 0950,"Fred. Roeskestraat 115, 1076 EE Amsterdam, Netherlands",https://www.linkedin.com/company/software-improvement-group,,,4.8,21,,,,software companies in Amsterdam,https://www.google.com/maps/place/Software+Improvement+Group+%28SIG%29/data=!4m7!3m6!1s0x47c609801dda1c85:0xd3a95d3ae77c8dfb!8m2!3d52.3406297!4d4.858677!16s%2Fg%2F1tknjn97!19sChIJhRzaHYAJxkcR-4185zpdqdM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,55,B,2026-08-26T13:12:31.710Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,europe,netherlands,amsterdam
JIG Technologies,Software company,https://jigtechnologies.com/,info@jig.to,info@jig.to,,,+1 416-850-2684,"250 Merton St, Toronto, ON M4S 1B1, Canada",,,,4.8,35,,,,software companies in Toronto,https://www.google.com/maps/place/JIG+Technologies/data=!4m7!3m6!1s0x882b3337dc00abbd:0x8b8662cbfa96b8cc!8m2!3d43.6980054!4d-79.3886692!16s%2Fg%2F1tcv6yyd!19sChIJvasA3DczK4gRzLiW-stihos?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:15:56.156Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,north-america,canada,toronto
Mintec Systems - Custom Software Development,Software company,https://www.mintec.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@mintec.com.au,sales@mintec.com.au,,,+61 3 9660 5500,,https://www.linkedin.com/company/mintec-systems/,,,5.0,3,,,,software development companies in Melbourne,https://www.google.com/maps/place/Mintec+Systems+-+Custom+Software+Development/data=!4m7!3m6!1s0x6ad642bf7d9f5599:0x685bd48d5c646202!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F1tcy90kk!19sChIJmVWffb9C1moRAmJkXI3UW2g?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:23:27.092Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,apac-anz,australia,melbourne
"Digital iBex SEO Expert in Lahore, Pakistan",Marketing agency,https://digitalibex.com/seo-services-in-lahore/,info@digitalibex.com,info@digitalibex.com,,,+92 314 4348200,"Zainab Tower, Model Town Link Rd, Phase 3 GECH Society, Lahore, 54770, Pakistan",,,,5.0,41,,,,SEO agencies in Lahore,"https://www.google.com/maps/place/Digital+iBex+SEO+Expert+in+Lahore,+Pakistan/data=!4m7!3m6!1s0x391907ae7f0a297d:0x51746e45dfca36f2!8m2!3d31.466336!4d74.316429!16s%2Fg%2F11l2d5bxk5!19sChIJfSkKf64HGTkR8jbK30VudFE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNC4wIJJjKgBIAVAD&rclk=1",google_maps,normal_scraper,unknown,55,B,2026-08-26T13:34:43.065Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,digital-marketing,digital-marketing,,,,false,0.7,rules,south-asia,pakistan,lahore
s360 Digital UK,Internet marketing service,https://www.reloaddigital.co.uk/,uk@s360digital.com,uk@s360digital.com,,,,"The Typewriter Building, 140 Borough High St, London SE1 1LB, United Kingdom",https://www.linkedin.com/company/reload-digital/,,https://www.instagram.com/reloaddigital/,4.7,49,,,,digital marketing agencies in London,https://www.google.com/maps/place/s360+Digital+UK/data=!4m7!3m6!1s0x487604d5a1c8235d:0xe752759bee33c16f!8m2!3d51.5023976!4d-0.0925954!16s%2Fg%2F1tg5z33d!19sChIJXSPIodUEdkgRb8Ez7pt1Uuc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:38:33.715Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,digital-marketing,digital-marketing,,,,false,0.7,rules,europe,uk,london
Disturb Digital,Marketing agency,https://disturbdigital.com/,hello@disturbdigital.com,hello@disturbdigital.com,,,+44 20 8819 1867,"79 College Road Harrow, Greater, London HA1 1BD, United Kingdom",,,,5.0,38,,,,digital marketing agencies in London,https://www.google.com/maps/place/Disturb+Digital/data=!4m7!3m6!1s0x4876137370ba9f75:0xeea2f30281b283bd!8m2!3d51.5800049!4d-0.3369108!16s%2Fg%2F11gtg9qjwg!19sChIJdZ-6cHMTdkgRvYOygQLzou4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:38:33.715Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,digital-marketing,digital-marketing,,,,false,0.7,rules,europe,uk,london
5Boro Digital,Internet marketing service,https://5borodigital.com/,info@5borodigital.com,info@5borodigital.com,,,+1 914-200-3610,"99 Wall St ste. 3031, New York, NY 10005, United States",,,,5.0,31,,,,SEO agencies in New York,https://www.google.com/maps/place/5Boro+Digital/data=!4m7!3m6!1s0x89c25b10d53dbae9:0xff3a26d42d5d8c33!8m2!3d40.7049014!4d-74.0072444!16s%2Fg%2F11jclfjpwy!19sChIJ6bo91RBbwokRM4xdLdQmOv8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,55,B,2026-08-26T13:40:15.963Z,,,digital-marketing,digital-marketing,,,,false,0.7,rules,north-america,usa,new-york
"Centre Source | Software Company in Abu Dhabi | App Development in Abu Dhabi, UAE",Software company,http://centresource.in/,hr@centresource.in,hr@centresource.in; info@centresource.in,,,,"Afaq Al Khaleej Addax Tower, City of Lights Al Reem Island, Office No 3902 - 3903 - Abu Dhabi - United Arab Emirates",https://in.linkedin.com/company/centresourcecs,https://www.facebook.com/centresourcecs/,https://www.instagram.com/centresourcecs/,4.7,12,,,,software development companies in Abu Dhabi,"https://www.google.com/maps/place/Centre+Source+%7C+Software+Company+in+Abu+Dhabi+%7C+App+Development+in+Abu+Dhabi,+UAE/data=!4m7!3m6!1s0x3e5e67d8317f17db:0xac8b6cd925fae2c8!8m2!3d24.4989635!4d54.4031336!16s%2Fg%2F11p6cn60lz!19sChIJ2xd_MdhnXj4RyOL6Jdlsi6w?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1",google_maps,normal_scraper,unknown,54,C,2026-08-26T10:23:39.050Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps,,,,false,0.7,rules,middle-east,uae,abu-dhabi
Unique Computer Systems,Software company,http://www.ucssolutions.com/,,,Platinum List,"Vassiliy Anatoli, Managing Director",+971 6 525 4491,"Near Sharjah Expo Centre, Al Baker 5 Tower - Office #804, 8th - Al Khan - Sharjah - United Arab Emirates",https://www.linkedin.com/company/unique-computer-systems,https://www.facebook.com/ucssolutions/,https://www.instagram.com/ucs_solutions/,4.2,23,,,,IT companies in Sharjah,https://www.google.com/maps/place/Unique+Computer+Systems/data=!4m7!3m6!1s0x3e5f5c77955268cd:0x5067169b03bc9963!8m2!3d25.3135631!4d55.3730543!16s%2Fg%2F1tx_4v85!19sChIJzWhSlXdcXz4RY5m8A5sWZ1A?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,54,C,2026-08-26T10:31:17.017Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,web-development,web-development; data-analytics-bi; ai-ml; erp-sap; ui-ux-design; hospitality-retail; finance-insurance,data-analytics-bi; ai-ml; erp-sap; ui-ux-design; hospitality-retail; finance-insurance,,,false,0.5,web,middle-east,uae,sharjah
HCLTech,Software company,https://www.hcltech.com/geo-presence/saudi-arabia,hclfederal@immixgroup.com,hclfederal@immixgroup.com,Stanley Toh,Head of EnterpriseEnd-user Services & Experience,+966 50 009 5643,"Block D, Al Akaria Plaza, Olaya St, Office No. 203, Riyadh Saudi Arabia",https://www.linkedin.com/company/hcl-technologies,https://www.facebook.com/HCLTechOfficial,http://instagram.com/hcltech,3.9,12,,,,software companies in Riyadh,https://www.google.com/maps/place/HCLTech/data=!4m7!3m6!1s0x3e2f03281637aebf:0x90adce20464ad64f!8m2!3d24.7073078!4d46.6793901!16s%2Fg%2F1hc5d4yvv!19sChIJv643FigDLz4RT9ZKRiDOrZA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T10:32:43.208Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,middle-east,saudi-arabia,riyadh
Smart Solutions Company,Software company,http://www.smartsolns.com/,info@smartsolns.com,info@smartsolns.com,,,+965 2202 0281,"NBT Tower, Abdulla Al Mubarak St, Kuwait City, Kuwait",,,,4.6,14,,,,software companies in Kuwait City,https://www.google.com/maps/place/Smart+Solutions+Company/data=!4m7!3m6!1s0x3fcf9af300000001:0xb12fea704625a1b4!8m2!3d29.3690545!4d47.9791952!16s%2Fg%2F12hpgy212!19sChIJAQAAAPOazz8RtKElRnDqL7E?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T10:47:02.273Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,real-estate,real-estate; finance-insurance; hospitality-retail; mobile-apps; erp-sap; home-construction; education-training; manufacturing-industrial,finance-insurance; hospitality-retail; mobile-apps; erp-sap; home-construction; education-training; manufacturing-industrial,,,false,0.5,web,middle-east,kuwait,
Silverkey Technologies,Software company,https://www.silverkeytech.com/,hello@silverkeytech.com,hello@silverkeytech.com,,,+20 15 52000728,"6A Ismail Mohammed، Street, Zamalek, Cairo Governorate 12311, Egypt",,,,4.6,13,,,,software companies in Cairo,https://www.google.com/maps/place/Silverkey+Technologies/data=!4m7!3m6!1s0x145840d598bd3dd9:0x4f784152ee3f26de!8m2!3d30.0650175!4d31.2173536!16s%2Fg%2F11clzgtm8w!19sChIJ2T29mNVAWBQR3iY_7lJBeE8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T11:01:43.008Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,data-analytics-bi,data-analytics-bi; ai-ml; professional-services; finance-insurance,ai-ml; professional-services; finance-insurance,,,false,0.4,web,middle-east,egypt,cairo
DoGether,Software company,https://dogethertech.com/,mohand@company.com,mohand@company.com,مينا ماجد,Project Manager,+20 10 62485133,,,https://www.facebook.com/Dogethertech,https://www.instagram.com/dogethertech,5.0,3,,,,software companies in Cairo,https://www.google.com/maps/place/DoGether/data=!4m7!3m6!1s0x219fe9b4e27359d5:0xceb79b5675d851f6!8m2!3d26.9061!4d30.8768375!16s%2Fg%2F11zcvptfvx!19sChIJ1Vlz4rTpnyER9lHYdVabt84?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T11:01:43.008Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,web-development,web-development; mobile-apps; ui-ux-design,mobile-apps; ui-ux-design,,,false,0.4,web,middle-east,egypt,cairo
Anagog - Intent HQ,Software company,https://www.intenthq.com/,hello@intenthq.com,hello@intenthq.com; privacy@intenthq.com; legal@intenthq.com,,,,"Sonol Tower, Menakhem Begin Rd 52, Tel Aviv-Yafo, 6713701, Israel",,,,4.9,37,,,,software companies in Tel Aviv,https://www.google.com/maps/place/Anagog+-+Intent+HQ/data=!4m7!3m6!1s0x151d4b7812a4d385:0x1fa08109cf8633d1!8m2!3d32.063811!4d34.7815449!16s%2Fg%2F11g8wp64sn!19sChIJhdOkEnhLHRUR0TOGzwmBoB8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T11:08:52.453Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,cybersecurity,cybersecurity,,,,false,0.45,web,middle-east,israel,tel-aviv
Link Innovations - NUMA Bengaluru,Training center,https://www.link-innovations.com/,,,,,+91 80 4853 2127,"Cobalt Building, 46/1, Church St, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://www.linkedin.com/company/linkinnovations/,,https://www.instagram.com/link_innovate,4.3,318,,,,tech startups in Bangalore,https://www.google.com/maps/place/Link+Innovations+-+NUMA+Bengaluru/data=!4m7!3m6!1s0x3bae167b80d00ae5:0x81fd8b5c8fbafc6b!8m2!3d12.9756623!4d77.6026991!16s%2Fg%2F1q62kbzll!19sChIJ5QrQgHsWrjsRa_y6j1yL_YE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,54,C,2026-08-26T11:32:39.564Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,education-training,education-training,,,,false,0.7,rules,south-asia,india,bangalore
Anonimous Tech LLP - Software development company in mumbai,Software company,http://www.anonimous.co.in/,rushabh.parekh@anonimous.co.in,rushabh.parekh@anonimous.co.in; support@anonimous.co.in; yourmail@email.com,,,+91 99308 58801,"E, Shubh Mangalam, 155, Jain Society, Sion, Mumbai, Maharashtra 400022, India",https://www.linkedin.com/in/amarjeet-lokhande-06948414/,,,4.0,11,,,,IT companies in Mumbai,https://www.google.com/maps/place/Anonimous+Tech+LLP+-+Software+development+company+in+mumbai/data=!4m7!3m6!1s0x3be7c8d33aaaaaa9:0x5351dbcd674f617a!8m2!3d19.0394302!4d72.8610076!16s%2Fg%2F11g9w2q6hx!19sChIJqaqqOtPI5zsRemFPZ83bUVM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNC4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T11:38:15.757Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,south-asia,india,mumbai
Impecsoft Solutions Pvt. Ltd,Software company,http://impecsoft.com/,info@impecsoft.com,info@impecsoft.com; contact@impecsoft.com,,,+91 40 2360 8538,"CFP2+2RF, Ameerpet Rd, Greenlands, Begumpet, Hyderabad, Telangana 500016, India",,,,4.8,17,,,,tech companies in Hyderabad India,https://www.google.com/maps/place/Impecsoft+Solutions+Pvt.+Ltd/data=!4m7!3m6!1s0x3bcb9137c56092cd:0x84ecdd8a09a5b8ee!8m2!3d17.4350669!4d78.4520594!16s%2Fg%2F11bzr87723!19sChIJzZJgxTeRyzsR7rilCYrd7IQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T11:43:46.120Z,,,,,,,,false,0,rules,south-asia,india,hyderabad
Temenos India Pvt. Ltd.,Software company,http://www.temenos.com/,,,,,+91 44 7133 1000,"146, Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034, India",https://www.linkedin.com/company/temenos,https://www.facebook.com/TemenosGroup,https://www.instagram.com/we_are_temenos,4.2,439,,,,IT companies in Chennai,https://www.google.com/maps/place/Temenos+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3a5266658c00ac39:0x8a732b0640b94ea9!8m2!3d13.0659746!4d80.2427928!16s%2Fg%2F1tsjc2f7!19sChIJOawAjGVmUjoRqU65QAYrc4o?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,54,C,2026-08-26T11:47:27.207Z,,,,,,,,false,0,rules,south-asia,india,chennai
John Keells IT,Software company,http://www.johnkeellsit.com/,,,,,+94 112 300 770,"148 Vauxhall St, Colombo 00200, Sri Lanka",https://lk.linkedin.com/company/john-keells-it,https://www.facebook.com/johnkeellsit,https://www.instagram.com/john.keells.it/,4.4,302,,,,IT companies in Colombo,https://www.google.com/maps/place/John+Keells+IT/data=!4m7!3m6!1s0x3ae259146b8df3d5:0xd438f16c774e86e!8m2!3d6.9233215!4d79.8566385!16s%2Fg%2F11r8swm0q!19sChIJ1fONaxRZ4joRbuh0xxaPQw0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,54,C,2026-08-26T12:17:33.300Z,,,,,,,,false,0,rules,south-asia,sri-lanka,colombo
Arollo Tech Limited,Software company,http://www.arollotech.com/,careers@arollotech.com,careers@arollotech.com; info@arollotech.com,,,+880 2-8412506,"269 Lane - 3, Dhaka, Bangladesh",,,,4.9,13,,,,tech startups in Dhaka,https://www.google.com/maps/place/Arollo+Tech+Limited/data=!4m7!3m6!1s0x3755c781c410f3e5:0x3f62160775aa0494!8m2!3d23.8142057!4d90.4150668!16s%2Fg%2F11h3bg8llq!19sChIJ5fMQxIHHVTcRlASqdQcWYj8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T12:19:18.426Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,,,,,,false,0,rules,south-asia,bangladesh,dhaka
Datasoft Systems Bangladesh Limited,Software company,http://www.datasoft-bd.com/,,,,,+880 2-58151538,"20th Floor, Rupayan Shelford, 23/6 Mirpur Rd, Dhaka 1207, Bangladesh",https://www.linkedin.com/signup/cold-join,https://web.facebook.com/DSBLFANPAGE/,,4.3,432,,,,software companies in Dhaka,https://www.google.com/maps/place/Datasoft+Systems+Bangladesh+Limited/data=!4m7!3m6!1s0x3755c0afef1e7055:0x3ae93e5d01cdda56!8m2!3d23.7738734!4d90.3661752!16s%2Fg%2F1tk89h4y!19sChIJVXAe76_AVTcRVtrNAV0-6To?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,,54,C,2026-08-26T12:21:02.560Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,south-asia,bangladesh,dhaka
Fonk Cape Town,Software company,https://fonk.capetown/,hello@faradaydigital.agency,hello@faradaydigital.agency; u003ehello@faradaydigital.agency,,,,"Unit 201, Old Castle Brewery, 6 Beach Rd, Woodstock, Cape Town, 7915, South Africa",https://www.linkedin.com/company/faraday-digital-agency,https://www.facebook.com/faraday.digital.agency,https://www.instagram.com/FaradayDigitalAgency,4.7,15,,,,software companies in Cape Town,https://www.google.com/maps/place/Fonk+Cape+Town/data=!4m7!3m6!1s0x1dcc5d03f01136b1:0x92faba9a7195166d!8m2!3d-33.924998!4d18.4486469!16s%2Fg%2F11b76jsvp4!19sChIJsTYR8ANdzB0RbRaVcZq6-pI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,54,C,2026-08-26T12:30:06.261Z,,,,,,,,false,0,rules,africa,south-africa,cape-town
